,0,1,2
0,STATE,YEAR,PERCENT
1,US,2010,65.1
2,US,2000,66.2
3,US,1990,64.2
4,US,1980,64.4
5,US,1970,62.9
6,US,1960,61.9
7,US,1950,55.0
8,US,1940,43.6
9,US,1930,47.8
10,US,1920,45.6
11,US,1910,45.9
12,US,1900,46.5
13,AL,2010,69.7
14,AL,2000,72.5
15,AL,1990,70.5
16,AL,1980,70.1
17,AL,1970,66.7
18,AL,1960,59.7
19,AL,1950,49.4
20,AL,1940,33.6
21,AL,1930,34.2
22,AL,1920,35.0
23,AL,1910,35.1
24,AL,1900,34.4
25,AK,2010,63.1
26,AK,2000,62.5
27,AK,1990,56.1
28,AK,1980,58.3
29,AK,1970,50.3
30,AK,1960,48.3
31,AK,1950,54.5
32,AK,1940,
33,AK,1930,
34,AK,1920,
35,AK,1910,
36,AK,1900,
37,AZ,2010,66.0
38,AZ,2000,68.0
39,AZ,1990,64.2
40,AZ,1980,68.3
41,AZ,1970,65.3
42,AZ,1960,63.9
43,AZ,1950,56.4
44,AZ,1940,47.9
45,AZ,1930,44.8
46,AZ,1920,42.8
47,AZ,1910,49.2
48,AZ,1900,57.5
49,AR,2010,67.0
50,AR,2000,69.4
51,AR,1990,69.6
52,AR,1980,70.5
53,AR,1970,66.7
54,AR,1960,61.4
55,AR,1950,54.5
56,AR,1940,39.7
57,AR,1930,40.1
58,AR,1920,45.1
59,AR,1910,46.6
60,AR,1900,47.7
61,CA,2010,55.9
62,CA,2000,56.9
63,CA,1990,55.6
64,CA,1980,55.9
65,CA,1970,54.9
66,CA,1960,58.4
67,CA,1950,54.3
68,CA,1940,43.4
69,CA,1930,46.1
70,CA,1920,43.7
71,CA,1910,49.5
72,CA,1900,46.3
73,CO,2010,65.5
74,CO,2000,67.3
75,CO,1990,62.2
76,CO,1980,64.5
77,CO,1970,63.4
78,CO,1960,63.8
79,CO,1950,58.1
80,CO,1940,46.3
81,CO,1930,50.7
82,CO,1920,51.6
83,CO,1910,51.5
84,CO,1900,46.6
85,CT,2010,67.5
86,CT,2000,66.8
87,CT,1990,65.6
88,CT,1980,63.9
89,CT,1970,62.5
90,CT,1960,61.9
91,CT,1950,51.1
92,CT,1940,40.5
93,CT,1930,44.5
94,CT,1920,37.6
95,CT,1910,37.3
96,CT,1900,39.0
97,DE,2010,72.1
98,DE,2000,72.3
99,DE,1990,70.2
100,DE,1980,69.1
101,DE,1970,68.0
102,DE,1960,66.9
103,DE,1950,58.9
104,DE,1940,47.1
105,DE,1930,52.1
106,DE,1920,44.7
107,DE,1910,40.7
108,DE,1900,36.3
109,DC,2010,42.0
110,DC,2000,40.8
111,DC,1990,38.9
112,DC,1980,35.5
113,DC,1970,28.2
114,DC,1960,30.0
115,DC,1950,32.3
116,DC,1940,29.9
117,DC,1930,38.6
118,DC,1920,30.3
119,DC,1910,25.2
120,DC,1900,24.0
121,FL,2010,67.4
122,FL,2000,70.1
123,FL,1990,67.2
124,FL,1980,68.3
125,FL,1970,68.6
126,FL,1960,67.5
127,FL,1950,57.6
128,FL,1940,43.6
129,FL,1930,42.0
130,FL,1920,42.5
131,FL,1910,44.2
132,FL,1900,46.8
133,GA,2010,65.7
134,GA,2000,67.5
135,GA,1990,64.9
136,GA,1980,65.0
137,GA,1970,61.1
138,GA,1960,56.2
139,GA,1950,46.5
140,GA,1940,30.8
141,GA,1930,30.6
142,GA,1920,30.9
143,GA,1910,30.5
144,GA,1900,30.6
145,HI,2010,57.7
146,HI,2000,56.5
147,HI,1990,53.9
148,HI,1980,51.7
149,HI,1970,46.9
150,HI,1960,41.1
151,HI,1950,33.0
152,HI,1940,
153,HI,1930,
154,HI,1920,
155,HI,1910,
156,HI,1900,
157,ID,2010,69.9
158,ID,2000,72.4
159,ID,1990,70.1
160,ID,1980,72.0
161,ID,1970,70.1
162,ID,1960,70.5
163,ID,1950,65.5
164,ID,1940,57.9
165,ID,1930,57.0
166,ID,1920,60.9
167,ID,1910,68.1
168,ID,1900,71.6
169,IL,2010,67.5
170,IL,2000,67.3
171,IL,1990,64.2
172,IL,1980,62.6
173,IL,1970,59.4
174,IL,1960,57.8
175,IL,1950,50.1
176,IL,1940,40.3
177,IL,1930,46.5
178,IL,1920,43.8
179,IL,1910,44.1
180,IL,1900,45.0
181,IN,2010,69.9
182,IN,2000,71.4
183,IN,1990,70.2
184,IN,1980,71.7
185,IN,1970,71.7
186,IN,1960,71.1
187,IN,1950,65.5
188,IN,1940,53.1
189,IN,1930,57.3
190,IN,1920,54.8
191,IN,1910,54.8
192,IN,1900,56.1
193,IA,2010,72.1
194,IA,2000,72.3
195,IA,1990,70.0
196,IA,1980,71.8
197,IA,1970,71.7
198,IA,1960,69.1
199,IA,1950,63.4
200,IA,1940,51.5
201,IA,1930,54.7
202,IA,1920,58.1
203,IA,1910,58.4
204,IA,1900,60.5
205,KS,2010,67.8
206,KS,2000,69.2
207,KS,1990,67.9
208,KS,1980,70.2
209,KS,1970,69.1
210,KS,1960,68.9
211,KS,1950,63.9
212,KS,1940,51.0
213,KS,1930,56.0
214,KS,1920,56.9
215,KS,1910,59.1
216,KS,1900,59.1
217,KY,2010,68.7
218,KY,2000,70.8
219,KY,1990,69.6
220,KY,1980,70.0
221,KY,1970,66.9
222,KY,1960,64.3
223,KY,1950,58.7
224,KY,1940,48.0
225,KY,1930,51.3
226,KY,1920,51.6
227,KY,1910,51.6
228,KY,1900,51.5
229,LA,2010,67.2
230,LA,2000,67.9
231,LA,1990,65.9
232,LA,1980,65.5
233,LA,1970,63.1
234,LA,1960,59.0
235,LA,1950,50.3
236,LA,1940,36.9
237,LA,1930,35.0
238,LA,1920,33.7
239,LA,1910,32.2
240,LA,1900,31.4
241,ME,2010,71.3
242,ME,2000,71.6
243,ME,1990,70.5
244,ME,1980,70.9
245,ME,1970,70.1
246,ME,1960,66.5
247,ME,1950,62.8
248,ME,1940,57.3
249,ME,1930,61.7
250,ME,1920,59.6
251,ME,1910,62.5
252,ME,1900,64.8
253,MD,2010,67.5
254,MD,2000,67.7
255,MD,1990,65.0
256,MD,1980,62.0
257,MD,1970,58.8
258,MD,1960,64.5
259,MD,1950,56.3
260,MD,1940,47.4
261,MD,1930,55.2
262,MD,1920,49.9
263,MD,1910,44.0
264,MD,1900,40.0
265,MA,2010,62.3
266,MA,2000,61.7
267,MA,1990,59.3
268,MA,1980,57.5
269,MA,1970,57.5
270,MA,1960,55.9
271,MA,1950,47.9
272,MA,1940,38.1
273,MA,1930,43.5
274,MA,1920,34.8
275,MA,1910,33.1
276,MA,1900,35.0
277,MI,2010,72.1
278,MI,2000,73.8
279,MI,1990,71.0
280,MI,1980,72.7
281,MI,1970,74.4
282,MI,1960,74.4
283,MI,1950,67.5
284,MI,1940,55.4
285,MI,1930,59.0
286,MI,1920,58.9
287,MI,1910,61.7
288,MI,1900,62.3
289,MN,2010,73.0
290,MN,2000,74.6
291,MN,1990,71.8
292,MN,1980,71.7
293,MN,1970,71.5
294,MN,1960,72.1
295,MN,1950,66.4
296,MN,1940,55.2
297,MN,1930,58.9
298,MN,1920,60.7
299,MN,1910,61.9
300,MN,1900,63.5
301,MS,2010,69.6
302,MS,2000,72.3
303,MS,1990,71.5
304,MS,1980,71.0
305,MS,1970,66.3
306,MS,1960,57.7
307,MS,1950,47.8
308,MS,1940,33.3
309,MS,1930,32.5
310,MS,1920,34.0
311,MS,1910,34.0
312,MS,1900,34.5
313,MO,2010,68.8
